Postre Nutritivo e Ingredientes Clave,Dieta (diet),Necesidad (need),Formato (format),Precio (PEN),Calorías (kcal)
"1. Barras de maca, algarrobina y cacao: Avena, miel, maca gelatinizada y nibs.",Vegano,Concentración,Portátil,0.0,165
"2. Brownie proteico de cañihua: Harina de cañihua, whey protein vegetal y cacao chuncho.",Sin gluten,Concentración,Intenso,0.0,180
"3. Pie de limón proteico: Base de almendras, crema de yogur griego y limón sutil.",Keto,Antiestrés,Fresco,0.0,185
"4. Queque de zanahoria andino: Zanahoria, nueces, chía y harina integral.",Tradicional,Energía,Portátil,0.0,220
"5. Galletas de quinoa choco-chips: Quinoa pop, harina de almendras y chocolate 70%.",Sin gluten,Energía,Portátil,0.0,160
"6. Cheesecake light de aguaymanto: Queso crema bajo en grasa, stevia y mermelada natural.",Sin gluten,Antiestrés,Fresco,0.0,175
"7. Trufas keto amazónicas: Palta cremosa, cacao oscuro puro y coco rallado.",Keto,Concentración,Intenso,0.0,140
"8. Pudín de chía y camu camu: Leche de almendras, chía y coulis de camu camu rico en vitamina C.",Vegano,Energía,Fresco,0.0,140
"9. Mousse vegano de lúcuma: Castañas licuadas, pulpa de lúcuma natural y leche de coco.",Vegano,Antiestrés,Fresco,0.0,155
"10. Alfajores de kiwicha: Masa de harina de kiwicha rellenos con manjar blanco de dátiles.",Tradicional,Antiestrés,Portátil,0.0,170
"11. Copa de mazamorra morada fit: Maíz morado endulzado con stevia, espesado con harina de camote.",Sin gluten,Antiestrés,Fresco,0.0,145
"12. Volcán de chocolate al 80%: Harina de coco, huevos, eritritol y cacao puro derretido.",Keto,Antiestrés,Intenso,0.0,175
"13. Muffins de avena y arándanos: Harina de avena, huevos, plátano seda y arándanos frescos.",Tradicional,Energía,Portátil,0.0,175
"14. Cuadritos de almendras y sal de Maras: Mantequilla de almendras, aceite de coco y sal de Maras.",Keto,Concentración,Portátil,0.0,195
"15. Turrón crudi-vegano de higos: Higos secos procesados con nueces, kiwicha y especias.",Vegano,Energía,Intenso,0.0,180
"16. Tartaleta cruda de fresas: Base de pecanas iqueñas y dátiles, rellena de crema de cashews y fresas.",Sin gluten,Antiestrés,Intenso,0.0,165
"17. Galleta de avena y lúcuma: Hojuelas de avena, harina de lúcuma, linaza y aceite de coco.",Tradicional,Energía,Portátil,0.0,170
"18. Trufas de matcha: Matcha ceremonial, almendra molida y coco rallado.",Sin gluten,Concentración,Portátil,0.0,140
"19. Mousse de chía y mango: Chía hidratada en leche de coco, puré de mango fresco y semillas.",Vegano,Antiestrés,Fresco,0.0,155
"20. Torta de palta y cacao: Palta madura, cacao oscuro puro y endulzante natural.",Keto,Energía,Intenso,0.0,210
"21. Pudín de cacao y avena: Cacao amargo, avena remojada en leche de almendras y canela.",Vegano,Energía,Fresco,0.0,150
"22. Cheesecake de maracuyá light: Queso crema bajo en grasa, maracuyá fresco y base de galleta integral.",Tradicional,Antiestrés,Fresco,0.0,175
"23. Alfajores de avena y cacao: Galletas de avena integral rellenas de crema de cacao y dátiles.",Tradicional,Energía,Portátil,0.0,170
"24. Brownie de lúcuma y nuez: Lúcuma peruana, nuez tostada y harina de almendras.",Keto,Energía,Portátil,0.0,195
"25. Galletas de kiwicha y chocolate 70%: Kiwicha inflada, chocolate oscuro y pasta de maní.",Sin gluten,Energía,Portátil,0.0,155
"26. Queque de plátano y canela: Plátano maduro, harina integral, canela y nueces pecanas.",Tradicional,Concentración,Portátil,0.0,200
"27. Crema volteada fit: Huevos, leche evaporada light, esencia de vainilla y stevia.",Tradicional,Antiestrés,Fresco,0.0,160
"28. Helado vegano de coco y maracuyá: Leche de coco, pulpa de maracuyá y endulzante natural.",Vegano,Concentración,Fresco,0.0,130
